Network,Alpha2code,Region,City,Postal code 
2A02:88D:218::/48,SA,SA-02,Western,
2A02:88D:220::/48,SA,SA-02,Western,
2A02:88D:22F::/64,SA,SA-02,Western,
2A02:88D:229::/48,SA,SA-02,Western,
2A02:88D:22A::/48,SA,SA-02,Western,
2A02:88D:22B::/48,SA,SA-02,Western,
2A02:88D:22C::/48,SA,SA-02,Western,
2A02:88D:22D::/48,SA,SA-02,Western,
2A02:88D:22E::/48,SA,SA-02,Western,
2A02:88D:221::/48,SA,SA-02,Western,
2A02:88D:222::/48,SA,SA-02,Western,
2A02:88D:223::/48,SA,SA-02,Western,
2A02:88D:224::/48,SA,SA-02,Western,
2A02:88D:225::/48,SA,SA-02,Western,
2A02:88D:226::/48,SA,SA-02,Western,
2A02:88D:227::/48,SA,SA-02,Western,
2A02:88D:228::/48,SA,SA-02,Western,
2A02:88D:200::/48,SA,SA-02,Western,
2A02:88D:20F::/64,SA,SA-02,Western,
2A02:88D:209::/48,SA,SA-02,Western,
2A02:88D:20A::/48,SA,SA-02,Western,
2A02:88D:20B::/48,SA,SA-02,Western,
2A02:88D:20C::/48,SA,SA-02,Western,
2A02:88D:20D::/48,SA,SA-02,Western,
2A02:88D:20E::/48,SA,SA-02,Western,
2A02:88D:201::/48,SA,SA-02,Western,
2A02:88D:202::/48,SA,SA-02,Western,
2A02:88D:203::/48,SA,SA-02,Western,
2A02:88D:204::/48,SA,SA-02,Western,
2A02:88D:205::/48,SA,SA-02,Western,
2A02:88D:206::/48,SA,SA-02,Western,
2A02:88D:207::/48,SA,SA-02,Western,
2A02:88D:208::/48,SA,SA-02,Western,
2A02:888:8052::/48,SA,SA-02,Western,
2A02:888:8055::/64,SA,SA-02,Western,
2A02:888:8053::/48,SA,SA-02,Western,
2A02:888:8054::/48,SA,SA-02,Western,
2A02:888:8044::/48,SA,SA-02,Western,
2A02:888:8047::/64,SA,SA-02,Western,
2A02:888:8045::/48,SA,SA-02,Western,
2A02:888:8046::/48,SA,SA-02,Western,
2A02:888:8048::/48,SA,SA-02,Western,
2A02:888:8051::/64,SA,SA-02,Western,
2A02:888:8049::/48,SA,SA-02,Western,
2A02:888:8050::/48,SA,SA-02,Western,
2A02:888:8040::/48,SA,SA-02,Western,
2A02:888:8043::/64,SA,SA-02,Western,
2A02:888:8041::/48,SA,SA-02,Western,
2A02:888:8042::/48,SA,SA-02,Western,
2A02:88D:8030::/48,SA,SA-02,Western,
2A02:88D:803F::/64,SA,SA-02,Western,
2A02:88D:8039::/48,SA,SA-02,Western,
2A02:88D:803A::/48,SA,SA-02,Western,
2A02:88D:803B::/48,SA,SA-02,Western,
2A02:88D:803C::/48,SA,SA-02,Western,
2A02:88D:803D::/48,SA,SA-02,Western,
2A02:88D:803E::/48,SA,SA-02,Western,
2A02:88D:8031::/48,SA,SA-02,Western,
2A02:88D:8032::/48,SA,SA-02,Western,
