Network,Alpha2code,Region,City
188.249.45.0/24,SA,SA-02,Western
188.249.46.0/24,SA,SA-02,Western
188.249.47.0/24,SA,SA-02,Western
188.249.48.0/24,SA,SA-02,Western
188.249.49.0/24,SA,SA-02,Western
188.249.50.0/24,SA,SA-02,Western
188.249.51.0/24,SA,SA-02,Western
188.249.52.0/24,SA,SA-02,Western
188.249.53.0/24,SA,SA-02,Western
188.249.54.0/24,SA,SA-02,Western
188.249.55.0/24,SA,SA-02,Western
188.249.56.0/24,SA,SA-02,Western
188.249.57.0/24,SA,SA-02,Western
188.249.58.0/24,SA,SA-02,Western
188.249.59.0/24,SA,SA-02,Western
188.249.60.0/24,SA,SA-02,Western
188.249.61.0/24,SA,SA-02,Western
188.249.62.0/24,SA,SA-02,Western
188.249.63.0/24,SA,SA-02,Western
188.249.96.0/24,SA,SA-02,Western
188.249.97.0/24,SA,SA-02,Western
188.249.98.0/24,SA,SA-02,Western
188.249.99.0/24,SA,SA-02,Western
46.184.100.0/24,SA,SA-02,Western
46.184.101.0/24,SA,SA-02,Western
46.184.102.0/24,SA,SA-02,Western
46.184.103.0/24,SA,SA-02,Western
46.184.104.0/24,SA,SA-02,Western
46.184.105.0/24,SA,SA-02,Western
46.184.106.0/24,SA,SA-02,Western
46.184.107.0/24,SA,SA-02,Western
46.184.108.0/24,SA,SA-02,Western
46.184.109.0/24,SA,SA-02,Western
46.184.110.0/24,SA,SA-02,Western
46.184.111.0/24,SA,SA-02,Western
46.184.112.0/24,SA,SA-02,Western
46.184.113.0/24,SA,SA-02,Western
46.184.114.0/24,SA,SA-02,Western
46.184.115.0/24,SA,SA-02,Western
46.184.116.0/24,SA,SA-02,Western
46.184.117.0/24,SA,SA-02,Western
46.184.118.0/24,SA,SA-02,Western
46.184.119.0/24,SA,SA-02,Western
46.184.120.0/24,SA,SA-02,Western
46.184.121.0/24,SA,SA-02,Western
46.184.122.0/24,SA,SA-02,Western
46.184.123.0/24,SA,SA-02,Western
